出版社,冊次,課次,Label,GCS 連結,GitHub Pages 連結
翰林,B1,U3,HL_B1_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B1_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B1_U3
翰林,B1,U4,HL_B1_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B1_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B1_U4
翰林,B1,U5,HL_B1_U5,https://www.jutor.ai/event/wordgym/index.html?label=HL_B1_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B1_U5
翰林,B1,U6,HL_B1_U6,https://www.jutor.ai/event/wordgym/index.html?label=HL_B1_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B1_U6
翰林,B2,CU,HL_B2_CU,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_CU#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B2_CU
翰林,B2,U1,HL_B2_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B2_U1
翰林,B2,U2,HL_B2_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B2_U2
翰林,B2,U3,HL_B2_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B2_U3
翰林,B2,U4,HL_B2_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B2_U4
翰林,B2,U5,HL_B2_U5,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B2_U5
翰林,B2,U6,HL_B2_U6,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B2_U6
翰林,B3,U1,HL_B3_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B3_U1
翰林,B3,U2,HL_B3_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B3_U2
翰林,B3,U3,HL_B3_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B3_U3
翰林,B3,U4,HL_B3_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B3_U4
